month,n_month,flow_mean,flow_sd,rotation_mean,rotation_sd,effect_pump_10_mean,effect_pump_10_sd,vibr_bear_as_x_mean,vibr_bear_as_x_sd,vibr_bear_as_y_mean,vibr_bear_as_y_sd,vibr_bear_bs_x_mean,vibr_bear_bs_x_sd,vibr_bear_bs_y_mean,vibr_bear_bs_y_sd,vibr_motor_x_mean,vibr_motor_x_sd,vibr_motor_y_mean,vibr_motor_y_sd,temp_winding_max_mean,temp_winding_max_sd,month_indicator_mean,month_indicator_sd
Apr,697,13934.205688451546,735.8030445692176,257.12152802856826,6.0569187981366825,458.09219838235526,33.72056578360027,1.1109178484328983,0.07440526389309599,1.0927847495107603,0.0797651293340674,0.5650292070529439,0.0389351425515295,0.540381602349322,0.03937549988193913,0.1834470432127171,0.01204197786202555,0.22379005608687974,0.015737418602932825,67.54057516636131,6.884212806162913,2,0
Dec,2071,13270.72499033578,278.9920111602751,259.31828455682694,4.53095234026126,475.9879590105422,23.810428306905223,1.1338265680425312,0.06809020989255866,1.053363092888531,0.06309368539517464,0.581126675771576,0.0365593101643394,0.5385369555750248,0.03213477504587235,0.2240060144438523,0.01699793627454511,0.2616649161090924,0.020606327254745854,70.25380237377145,5.604986213035459,7,0
Mar,63,12828.372871133535,148.72140352378258,251.7130230107383,1.9279442269926566,424.9326409160204,11.246629873488393,1.1331466140522108,0.047429767705182965,1.1444234681660745,0.05919763277203035,0.5687394458244822,0.02526714669001862,0.5559768646187357,0.02855586133433101,0.1793115677719604,0.00492411823349066,0.21992465195286315,0.007501417637793645,67.33866642699603,1.6536591339525426,1,0
May,2963,12822.808862599073,1289.0161671441442,256.6592226739883,5.708465657265819,453.93671912217667,28.658238198196674,1.1325714381587306,0.07888678939259174,1.092221222289131,0.08843993726247282,0.5750657122896435,0.039544395621573476,0.5406113120961362,0.04172688096916264,0.1832678490461849,0.00901375487517285,0.2188276187033534,0.01339220051123207,75.92846341284766,4.701657711433644,3,0
Nov,5121,13257.151002309743,303.44430453177876,256.6601215401094,5.376782839278486,456.9058357896087,27.491687315033165,1.0995153533794944,0.06885819028535789,1.0245366993132203,0.06868310657791785,0.5577013314838748,0.034553522386334155,0.517294239962438,0.03187362893062322,0.2247328437348543,0.024406738141853002,0.26893398646050504,0.03307634335065071,73.09709861506612,6.761841495131205,6,0
Oct,4333,13164.127044141635,325.2732940632243,259.1876040407062,5.272816071028367,470.8778239497545,27.099547426366062,1.155857229040682,0.07035518900183704,1.0935984545332773,0.07470381453616595,0.5931785533684254,0.03714598380831029,0.5546919878082912,0.03565334861521987,0.21218626552121853,0.02026535821463689,0.24642359007563658,0.025732417610298916,80.53481632746886,9.260117670296758,5,0
Sep,1129,13327.908249213915,479.5562736379874,261.8660430896649,5.7032134200941655,479.6917391718185,31.02467422198136,1.2268285101077474,0.08775760218191611,1.2162350842332879,0.10234206387658205,0.6368572243577781,0.046468093817568834,0.6111191632180083,0.047771279555093304,0.2092028959362256,0.015366021062121614,0.2504709187239593,0.019776096502114864,94.48255057542897,10.293073267397794,4,0
