timelocal,month,month_indicator,month_weekday,flow,rotation,effect_pump_10,vibr_bear_as_x,vibr_bear_as_y,vibr_bear_bs_x,vibr_bear_bs_y,vibr_motor_x,vibr_motor_y,temp_winding_max
2020-03-03T10:33:00Z,Mar,1,2020-03-02T23:00:00Z,13283.310077311198,261.5263594014486,484.17551285603844,1.1420193170626958,1.168419365085496,0.5885695588694678,0.5807006189273464,0.1819497494538625,0.2328080976082219,60.339988708496094
2020-03-03T10:39:00Z,Mar,1,2020-03-02T23:00:00Z,13630.491624772136,262.05050765516495,478.6416679816352,1.2148463570806716,1.221567768210835,0.6196372154421277,0.601686038339138,0.18785145872665776,0.23022485484778882,61.17998504638672
2020-03-03T11:01:30Z,Mar,1,2020-03-02T23:00:00Z,12656.968400824653,251.68299545118543,440.9427650431315,1.253200709508525,1.4064285805808174,0.6436497532261742,0.6830760481066174,0.20111579535735977,0.2538247783124447,64.379974365234375
2020-03-18T18:46:30Z,Mar,1,2020-03-17T23:00:00Z,12867.833523893229,250.40029190775553,416.27088087429473,1.155322793841362,1.1621178218894535,0.5745381564948294,0.5642240130318535,0.18151817311578328,0.22083703593843512,65.41945505286323
2020-03-18T18:48:00Z,Mar,1,2020-03-17T23:00:00Z,12889.11603875868,250.82965087890625,421.19697791951495,1.1450618816428715,1.1481668932040532,0.5733130195074612,0.5533231705096033,0.18185239447851975,0.2171913263771269,65.53840399678548
2020-03-18T18:49:30Z,Mar,1,2020-03-17T23:00:00Z,12882.674168945312,250.9359937717014,418.8727927971734,1.132203908862008,1.127149298032125,0.5708458641741011,0.5487748623331388,0.17923032538493475,0.21887463363044793,66.10368853590224
2020-03-18T18:51:00Z,Mar,1,2020-03-17T23:00:00Z,12934.649003721788,251.72854440646702,420.9573273973253,1.140235332194964,1.154549884976281,0.5716110088573562,0.5610633427858353,0.18119196916884847,0.21957981440126895,66.28913384331597
2020-03-18T18:52:30Z,Mar,1,2020-03-17T23:00:00Z,12920.983011642795,251.74234008789062,426.9322364000108,1.1601251386854383,1.1461314464092254,0.5812391509175301,0.5582080580486192,0.181447548672888,0.21986029647025798,66.39997863769531
2020-03-18T18:54:00Z,Mar,1,2020-03-17T23:00:00Z,12898.259547699652,251.37762727525498,421.75965254516603,1.1164655125247107,1.1166501803000768,0.5562113905880186,0.5398456612832017,0.17675977133678064,0.21515388303399086,66.39997863769531
2020-03-18T18:55:30Z,Mar,1,2020-03-17T23:00:00Z,12904.711209982639,251.38991405402288,423.23425111083986,1.12856360584365,1.1032223829388619,0.5628493125875791,0.535097247207827,0.18174081828031274,0.21512825634512636,66.39997863769531
2020-03-18T18:57:00Z,Mar,1,2020-03-17T23:00:00Z,12893.168250661893,251.87778907436794,422.2272617947049,1.1267486812697516,1.1481855766720241,0.5683205593956842,0.5600811672680908,0.17843906424774064,0.2195511456787586,66.39997863769531
2020-03-18T18:58:30Z,Mar,1,2020-03-17T23:00:00Z,12912.781485970052,252.21551513671875,424.5570131842719,1.1968313771062427,1.1980669505781598,0.599794522676203,0.5797137257006433,0.18856450713177522,0.22698479140367772,66.39997863769531
2020-03-18T19:00:00Z,Mar,1,2020-03-17T23:00:00Z,12918.915739789496,252.21551513671875,424.7919439737956,1.1386248795403375,1.1389097749127282,0.5769469858659638,0.5591631423830986,0.1808200405438741,0.2210010065999296,66.39997863769531
2020-03-18T19:01:30Z,Mar,1,2020-03-17T23:00:00Z,12906.785061338976,252.1915672217475,425.0459070929633,1.1172621213873228,1.1256405653953552,0.5609363440109624,0.5507925510631667,0.1780931044171254,0.21917970281442006,66.39997863769531
2020-03-18T19:03:00Z,Mar,1,2020-03-17T23:00:00Z,12855.944240212673,251.94699154934352,424.2838296020508,1.1827356271690792,1.1863679907401403,0.5927964404397541,0.5717872207416429,0.18530304272936451,0.22639551515777906,66.39997863769531
2020-03-18T19:04:30Z,Mar,1,2020-03-17T23:00:00Z,12874.965916634115,252.08735574544272,427.04727601453993,1.1347723969711199,1.1544895623842875,0.5684293294072151,0.5617272303448783,0.1811090582870775,0.22109712135328186,66.39997863769531
2020-03-18T19:06:00Z,Mar,1,2020-03-17T23:00:00Z,12888.39034734158,252.21551513671875,424.41986395331486,1.1735085540718502,1.1906696394364038,0.589435441660881,0.575552488998572,0.1842860649900304,0.22630632644792398,66.39548015407986
2020-03-18T19:07:30Z,Mar,1,2020-03-17T23:00:00Z,12896.180902408854,252.34055051676432,426.7526407931858,1.147200471493933,1.1667301717625724,0.5788351170301438,0.5700089305996895,0.18242561147809028,0.22482594760258992,66.34048988257514
2020-03-18T19:09:00Z,Mar,1,2020-03-17T23:00:00Z,12877.970673480902,252.24730799357096,428.55880320163305,1.0762024867932,1.1181223820434676,0.547134395112594,0.5457334554685487,0.17545715032120546,0.21922227522797055,66.41396130371093
2020-03-18T19:10:30Z,Mar,1,2020-03-17T23:00:00Z,12839.486467588975,252.06125481330025,426.09065291612416,1.0777906952328151,1.1020028892013762,0.5401362166702748,0.5358857502818107,0.17462292926576403,0.21466270158853795,66.6199951171875
2020-03-18T19:12:00Z,Mar,1,2020-03-17T23:00:00Z,12813.93688843316,251.74234008789062,424.973112568495,1.1837412032432026,1.197634339237213,0.5938469428949886,0.5779316201408704,0.1857955100728406,0.22645486020975641,66.84662301805284
2020-03-18T19:13:30Z,Mar,1,2020-03-17T23:00:00Z,12816.131559602865,251.56917379252116,422.8015438768175,1.155435635372003,1.158533771308263,0.5741126950158013,0.5625968039896753,0.17965281371043787,0.22051588051319124,67.20932334543863
2020-03-18T19:15:00Z,Mar,1,2020-03-17T23:00:00Z,12793.838251388888,251.4864733089871,421.27597441609703,1.123496071228716,1.1216297719637554,0.566641747884618,0.5456599698219035,0.17951028203898006,0.21809476732346747,67.22121031239827
2020-03-18T19:16:30Z,Mar,1,2020-03-17T23:00:00Z,12792.153184092882,251.36550723436144,422.31583688015405,1.1015804758429528,1.1303762063874139,0.5520513575957882,0.5507923265649213,0.17717522044016254,0.21711409955686994,67.31999206542969
2020-03-18T19:18:00Z,Mar,1,2020-03-17T23:00:00Z,12800.45954436849,251.45920356445313,425.25695957709416,1.1476206547670895,1.1712013407773443,0.5766687278469403,0.566282119292683,0.18195557243989574,0.22226323626538116,67.31999206542969
2020-03-18T19:19:30Z,Mar,1,2020-03-17T23:00:00Z,12795.463480881077,251.70852661132812,425.43099816894534,1.1394117287927203,1.106722834379143,0.5623921648561955,0.5315837013145288,0.18396475336088075,0.21321820699042743,67.31999206542969
2020-03-18T19:21:00Z,Mar,1,2020-03-17T23:00:00Z,12769.900124837239,251.6022249267578,426.1087235724555,1.0663675310161378,1.1068196845054628,0.5291028499311871,0.5298884834051132,0.17500337013834052,0.21292432201107342,67.31999206542969
2020-03-18T19:22:30Z,Mar,1,2020-03-17T23:00:00Z,12763.958502907986,251.74234008789062,424.82982764350044,1.0289630638003349,0.9974050099598036,0.5162010573234823,0.4861208918266826,0.1694068421466483,0.20341781917909782,67.31999206542969
2020-03-18T19:24:00Z,Mar,1,2020-03-17T23:00:00Z,12738.121365407986,251.69704826456706,421.51801736518013,1.1151347124788495,1.0956872325725027,0.5597925836834643,0.5393124162170622,0.17800732927189933,0.21589863425526354,67.31999206542969
2020-03-18T19:25:30Z,Mar,1,2020-03-17T23:00:00Z,12740.397574761284,251.57333374023437,421.7376278184679,1.110422698216968,1.1426064605673154,0.5590030209706889,0.5547581952048672,0.17632899652057224,0.22148990271422597,67.31999206542969
2020-03-18T19:27:00Z,Mar,1,2020-03-17T23:00:00Z,12729.481804307725,251.34826765272354,424.0206805447049,1.084043888188733,1.1035881433778338,0.5397585346652402,0.5338314013732804,0.17418732655644417,0.214302125468519,67.31999206542969
2020-03-18T19:28:30Z,Mar,1,2020-03-17T23:00:00Z,12712.224897764758,251.52220953301324,423.23033974812824,1.0771129201425447,1.0945754166179233,0.5390402046130763,0.5314472194592158,0.17503041939073138,0.2135403056644731,67.31999206542969
2020-03-18T19:30:00Z,Mar,1,2020-03-17T23:00:00Z,12706.858427105035,251.74234008789062,430.11715519137914,1.0878844561073515,1.0706773081620535,0.5430284683227539,0.5205784553156959,0.17820559648374718,0.2140001442939043,67.31999206542969
2020-03-18T19:31:30Z,Mar,1,2020-03-17T23:00:00Z,12695.012766015625,251.59857083943686,426.4171771558974,1.0989701020201048,1.1091705187161764,0.5488230340838433,0.5387259690907267,0.17450899691747296,0.21814194553494454,67.31999206542969
2020-03-18T19:33:00Z,Mar,1,2020-03-17T23:00:00Z,12702.604363650174,251.74234008789062,423.80248214653864,1.0779754860454136,1.075163276790248,0.5419717286792066,0.5214440788567066,0.1760619942251179,0.2118411657144626,67.31999206542969
2020-03-18T19:34:30Z,Mar,1,2020-03-17T23:00:00Z,12683.476014626736,251.54223446180555,428.66120669894747,1.141864497343699,1.1295000330077278,0.569377218955093,0.5464443246543408,0.18175074940489397,0.22024845680958696,67.31999206542969
2020-03-18T19:36:00Z,Mar,1,2020-03-17T23:00:00Z,12688.185935915799,251.74234008789062,430.67240418836803,1.0619598347028096,1.0799730398813883,0.5307493603573905,0.5279856027788586,0.17436452651851708,0.21203666069540714,67.49154205152723
2020-03-18T19:37:30Z,Mar,1,2020-03-17T23:00:00Z,12682.798988812934,251.70554359266492,428.2813598843045,1.12458357733753,1.1441765952534146,0.5622401665376292,0.5549301685041852,0.1784090361552106,0.21995208172798156,67.97905218556723
